PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Defensive_Actions,Progressive_Actions,Passes_Completed_P90,Attacking_Contributions,Mistake_Rate,Total_Carry_Distance,Duel_Efficiency,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
óscar duarte,Centre-Back,29,19/20,espanyol,levante,1000000,0,0,0,11,660,7.3,0.72,2.454545455,39.54545455,0.681818182,0.017509728,1132.363636,3.818181818,0,3,4,1,0
laurent koscielny,Centre-Back,32,19/20,arsenal,g. bordeaux,8000000,5000000,0,0,17,1331,14.8,0.836734694,3.042824944,55.44703231,0.135236664,0.011157601,1519.519159,2.434259955,0,1,3,2,1
leandro cabrera,Centre-Back,27,19/20,getafe,espanyol,10000000,9000000,0.215898246,0.3864,32,2794,31,0.787878788,3.7043665,17.90980673,0.773085183,0.047178538,716.8754474,5.926986399,0,3,3,0,1
eliaquim mangala,Centre-Back,,19/20,man city,valencia,10000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,3,2,0
phil jagielka,Centre-Back,35,19/20,everton,sheffield utd,1000000,0,0,0,7,331,3.7,0.777777778,1.63141994,39.15407855,0.543806647,0.016064257,1083.26284,5.166163142,0,3,5,2,0
erick cabaco,Centre-Back,23,19/20,levante,getafe,2000000,8000000,0.227160574,0.3766,21,1632,18.1,0.823529412,4.6875,28.34558824,0.496323529,0.044534413,836.25,2.8125,0,4,3,-1,0
amir rrahmani,Centre-Back,,19/20,hellas verona,napoli,6000000,15300000,0,0,,1746,,0.790468217,67.77066667,859.808,8.535207184,0.027363041,20615.95598,50.72989304,1,4,1,-3,1
manuel lazzari,Full-Back,24,19/20,spal,lazio,18000000,15000000,0,0,33,2835,31.5,0.755102041,9.746031746,34.66666667,7.047619048,0.050384615,636.4761905,0.825396825,0,5,2,-3,1
valentino lazaro,Full-Back,22,19/20,hertha bsc,inter,17000000,22400000,0.241694823,0.3653,31,2741,30.5,0.833333333,6.56694637,38.71214885,3.644655235,0.037207358,909.554907,1.674571324,0,3,1,-2,0
vincent laurini,Full-Back,29,19/20,fiorentina,parma,1500000,440000,0.088586404,0.4448,15,920,10.2,0.692307692,8.706521739,43.82608696,3.130434783,0.038327526,1139.282609,2.543478261,0,3,4,1,0
marco friedl,Centre-Back,,19/20,bayern munich,werder bremen,2500000,3500000,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,3,2,0
kieran trippier,Full-Back,27,19/20,tottenham,atlético,35000000,22000000,0,0,27,2276,25.3,0.666666667,8.659929701,60.3427065,5.891915641,0.019224168,1411.252197,2.609841828,0,2,1,-1,0
koffi djidji,Centre-Back,25,19/20,nantes,torino,5000000,3000000,0.309366316,0.2386,18,1477,16.4,0.777777778,3.473256601,32.78266757,0.182802979,0.032163743,835.8361544,2.863913338,0,3,3,0,0
konstantinos manolas,Centre-Back,,19/20,roma,napoli,45000000,36000000,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,1,0,1
konstantinos stafylidis,Full-Back,24,19/20,augsburg,hoffenheim,3000000,0,0,0,,2373,,0.763861606,153.9825315,1020.710325,64.89520306,0.036735172,23036.42096,59.09400743,1,3,3,0,0
kortney hause,Centre-Back,23,19/20,wolves,aston villa,1000000,3400000,0,0,,2008,,0.875663412,85.05746064,866.8274535,10.62881839,0.029519342,23756.85053,76.87238979,1,4,3,-1,0
tyrone mings,Centre-Back,25,19/20,bournemouth,aston villa,5000000,22300000,0.2142,0.2386,15,1293,14.4,0.818181818,3.897911833,40.71925754,0.417633411,0.022123894,1348.816705,3.480278422,0,4,3,-1,1
dominik kohr,Centre-Back,,19/20,leverkusen,frankfurt,4000000,8500000,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,3,2,1
reece oxford,Centre-Back,19,19/20,west ham,augsburg,4000000,2000000,0.309669584,0.483,8,505,5.6,0.869565217,2.851485149,43.30693069,0.356435644,0.015317287,1348.574257,4.455445545,0,3,3,0,1
gary cahill,Centre-Back,,19/20,chelsea,crystal palace,8000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,3,2,1
diego carlos,Centre-Back,25,19/20,nantes,sevilla fc,13000000,15000000,0,0,35,3148,35,0.777777778,4.517153748,39.93964422,0.628970775,0.023737754,1124.656925,3.430749682,0,3,2,-1,1
marco sala,Full-Back,,19/20,inter,sassuolo,300000,3000000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,3,2,0
marcos llorente,Full-Back,,19/20,real madrid,atlético,20000000,30000000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,1,0,1
diego godín,Centre-Back,32,19/20,atlético,inter,20000000,0,0,0,30,2509,27.9,0.773195876,2.582702272,30.27500996,0.179354324,0.029831388,835.5400558,4.053407732,0,1,1,0,1
ola aina,Full-Back,21,19/20,chelsea,torino,10000000,9800000,0.209730364,0.2914,30,2160,24,0.806451613,6.625,35.875,3,0.054231228,814.9583333,3.208333333,0,1,3,2,1
david luiz,Centre-Back,31,19/20,chelsea,arsenal,20000000,8700000,0,0,36,3238,36,0.868421053,8.366275479,64.40086473,0.945027795,0.011383538,1783.378629,3.140827671,0,1,1,0,0
martin hinteregger,Centre-Back,25,19/20,augsburg,frankfurt,16000000,9000000,0,0,32,2717,30.2,0.820512821,4.538093485,35.54287817,0.761869709,0.025011579,1035.447184,5.465587045,0,3,3,0,1
martín cáceres,Centre-Back,31,19/20,lazio,fiorentina,1500000,0,0.368145029,0.1818,13,935,10.4,0.6,6.256684492,53.71122995,0.096256684,0.014995314,1207.347594,2.117647059,0,2,3,1,0
marvin zeegelaar,Full-Back,27,19/20,watford,udinese,1500000,2000000,0,0.2614,12,956,10.6,0.85106383,2.824267782,29.93723849,1.412133891,0.060869565,553.7447699,3.765690377,0,5,3,-2,0
jules koundé,Full-Back,19,19/20,g. bordeaux,sevilla fc,15000000,35000000,0,0,37,3330,37,0.826530612,4.891891892,43.62162162,0.540540541,0.017654477,1160,3.972972973,0,3,2,-1,1
ashley young,Full-Back,33,19/20,man utd,inter,4000000,1700000,0,0,30,2569,28.5,0.813084112,7.917477618,47.96029583,3.223043986,0.031346749,1173.643441,1.821720514,0,1,1,0,1
romain perraud,Full-Back,20,19/20,nice,brest,1500000,2000000,0,0,,2349,,0.796736682,152.3969849,957.8446602,56.88991302,0.044318472,20094.96433,62.54692056,1,3,4,1,0
ronaël pierre-gabriel,Full-Back,20,19/20,monaco,mainz,4000000,5500000,0,0,,1843,,0.779207072,99.73156682,912.5084972,20.26275959,0.023919562,21883.91257,54.21455925,1,2,3,1,0
matt targett,Full-Back,22,19/20,southampton,aston villa,7000000,15500000,0.195217544,0.2557,16,1186,13.2,0.851851852,5.84317032,33.61720067,4.097807757,0.022974607,812.7318718,2.731871838,0,4,3,-1,1
matteo darmian,Full-Back,,19/20,man utd,parma,10000000,2480000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,4,3,0
junior firpo,Full-Back,21,19/20,real betis,barcelona,25000000,20000000,0,0,24,1937,21.5,0.786885246,7.248322148,42.46773361,2.6484254,0.039171796,816.7372225,2.741352607,0,3,1,-2,0
stanley nsoki,Centre-Back,,19/20,paris sg,nice,8500000,12500000,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,3,2,1
joão cancelo,Full-Back,24,19/20,juventus,man city,55000000,65000000,0,0,25,1968,21.9,0.74137931,11.52439024,57.21036585,5.442073171,0.033232628,1216.966463,2.240853659,0,1,1,0,1
mats hummels,Centre-Back,29,19/20,bayern munich,dortmund,35000000,30500000,0,0,21,1775,19.7,0.85,7.96056338,78.9971831,1.216901408,0.006772773,2090.332394,5.121126761,0,1,1,0,1
arthur zagré,Full-Back,,19/20,paris sg,monaco,2000000,10000000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,2,1,0
theo hernández,Full-Back,20,19/20,real madrid,ac milan,15000000,22800000,0,0,24,1976,22,0.75862069,7.241902834,42.67712551,2.687246964,0.049712193,821.0222672,2.505060729,0,1,1,0,1
biagio meccariello,Centre-Back,27,19/20,brescia,lecce,600000,100000,0,0,33,2850,31.7,0.886956522,3.284210526,44.81052632,0.473684211,0.027315914,1236.884211,2.778947368,0,5,5,0,0
danilo,Centre-Back,27,19/20,man city,juventus,20000000,37000000,0,0,11,807,9,0.885714286,10.81784387,84.98141264,1.784386617,0.016842105,1627.472119,3.791821561,0,1,1,0,1
ruben aguilar,Full-Back,25,19/20,montpellier,monaco,8000000,8000000,0,0,29,2528,28.1,0.704,7.58306962,46.81566456,4.414556962,0.045324622,1001.000791,2.8125,0,3,2,-1,1
guillermo maripán,Centre-Back,24,19/20,alavés,monaco,15000000,18000000,0,0,23,2008,22.3,0.76744186,2.599601594,23.88944223,0.224103586,0.025104603,787.0966135,5.423306773,0,4,2,-2,1
harry maguire,Centre-Back,25,19/20,leicester,man utd,50000000,87000000,0,0,31,2596,28.8,0.791044776,8.42449923,51.96841294,0.797380586,0.01773399,1505.766564,4.68027735,0,3,1,-2,1
merih demiral,Centre-Back,20,19/20,sassuolo,juventus,15000000,19500000,0,0,14,1260,14,0.813953488,4,44.21428571,0.285714286,0.023668639,1097.428571,5,0,3,1,-2,1
stephan lichtsteiner,Full-Back,34,19/20,arsenal,augsburg,1500000,0,0,0,14,938,10.4,0.75,5.373134328,43.27292111,1.0554371,0.045618247,873.901919,2.878464819,0,1,3,2,0
joachim andersen,Centre-Back,22,19/20,sampdoria,lyon,25000000,24000000,0,0,32,2880,32,0.826666667,5.59375,56.375,0.4375,0.014345487,1535.34375,3.15625,0,3,1,-2,0
nico schulz,Full-Back,25,19/20,hoffenheim,dortmund,25000000,25500000,0,0,30,2537,28.2,0.75862069,9.542767048,41.50571541,6.066219945,0.040416166,910.2167915,1.028774143,0,3,1,-2,0
jeison murillo,Centre-Back,26,19/20,valencia,sampdoria,8000000,13300000,0,0,,2327,,0.781407158,115.7156685,1120.407407,14.70843902,0.022034565,30357.07651,86.9858303,1,3,3,0,0
cristian ansaldi,Full-Back,31,19/20,inter,torino,5000000,2500000,0.538650967,0.3068,24,1807,20.1,0.630769231,9.413392363,28.58882125,6.026563365,0.073835125,768.3619258,1.444382955,0,1,3,2,1
cristian romero,Centre-Back,20,19/20,genoa,juventus,15000000,31500000,0,0,27,2336,26,0.734693878,1.733732877,25.42808219,0.192636986,0.04812398,696.8450342,3.66010274,0,4,1,-3,0
cristian zapata,Centre-Back,,19/20,ac milan,genoa,2000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,4,3,0
rúben vezo,Centre-Back,24,19/20,valencia,levante,6000000,5000000,0.205968421,0.3255,19,1535,17.1,0.795918367,3.2247557,28.31921824,0.469055375,0.035955056,803.7263844,2.814332248,0,3,4,1,1
salva ruiz,Full-Back,,19/20,rcd mallorca,valencia,400000,0,0,0,,1591,,0.716268072,97.31550381,455.4019488,44.93835827,0.070296014,11726.62094,36.67057837,1,4,3,-1,0
sam byram,Full-Back,25,19/20,west ham,norwich,3500000,830000,0,0,,2270.5,,0.775666641,170.1049861,1070.052552,85.65443231,0.041629723,24398.21502,57.81272853,1,3,5,2,0
bruno gonzález,Centre-Back,28,19/20,getafe,levante,1500000,0,0,0,23,1701,18.9,0.711111111,1.746031746,19.31216931,0.423280423,0.049099836,585.4497354,3.227513228,0,3,4,1,0
molla wagué,Centre-Back,27,19/20,udinese,nantes,1000000,1200000,0,0,,2327,,0.781407158,115.7156685,1120.407407,14.70843902,0.022034565,30357.07651,86.9858303,1,3,3,0,0
sebastien de maio,Centre-Back,31,19/20,bologna,udinese,1000000,1500000,0,0.3068,22,1664,18.5,0.827586207,3.028846154,28.71995192,0.703125,0.022267206,776.8990385,2.974759615,0,3,3,0,0
ferland mendy,Full-Back,23,19/20,lyon,real madrid,30000000,48000000,0,0,30,2531,28.1,0.794871795,9.743184512,58.17463453,3.342552351,0.030636526,1165.555117,2.631371,0,1,1,0,1
raúl albiol,Centre-Back,32,19/20,napoli,villarreal,5000000,4000000,0,0,20,1713,19,0.777777778,4.465849387,53.01225919,0.525394046,0.009719222,1596.094571,2.837127846,0,1,2,1,1
william saliba,Centre-Back,17,19/20,saint-étienne,arsenal,12000000,30000000,0,0,16,1277,14.2,0.8,1.973375098,40.1018011,0.281910728,0.02994012,1001.276429,3.382928739,0,3,1,-2,1
alex ferrari,Centre-Back,23,19/20,bologna,sampdoria,1500000,3600000,0,0,,2228,,0.768768769,97.21895332,1158.333616,13.12405484,0.019269122,32364.48264,79.37967255,1,3,3,0,0
lucas hernández,Full-Back,22,19/20,atlético,bayern munich,70000000,80000000,0,0,14,1117,12.4,0.795918367,4.431512981,36.09668756,1.289167413,0.026806527,785.5863921,3.706356312,0,1,1,0,1
luca rossettini,Centre-Back,33,19/20,genoa,lecce,500000,500000,0.055347368,0.4903,21,1823,20.3,0.852459016,1.629182666,33.91662095,0.246845858,0.016299919,993.1102578,2.715304443,0,4,5,1,0
luca pellegrini,Full-Back,19,19/20,roma,juventus,5000000,22800000,0.512232281,0.233,16,1101,12.2,0.82,6.049046322,35.3133515,3.433242507,0.05355064,827.9019074,2.615803815,0,1,1,0,0
luca itter,Centre-Back,,19/20,wolfsburg,freiburg,2000000,2500000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,3,0,0
abdou diallo,Centre-Back,22,19/20,dortmund,paris sg,35000000,32000000,0,0,28,2379,26.4,0.741935484,6.469104666,65.44766709,1.210592686,0.01973884,1658.247163,2.610340479,0,1,1,0,0
lorenzo de silvestri,Full-Back,31,20/21,torino,bologna,2500000,0,0,0,29,2243,24.9,0.794117647,5.256353099,28.0071333,2.407489969,0.053755523,609.0949621,2.688363798,0,3,3,0,0
lorenzo tonelli,Centre-Back,29,20/21,napoli,sampdoria,2400000,2000000,0.456201704,0.3198,9,702,7.8,0.764705882,4.487179487,39.1025641,0.256410256,0.030612245,1147.948718,2.820512821,0,1,3,2,0
aleksandar kolarov,Full-Back,33,20/21,roma,inter,5000000,1500000,0,0,32,2732,30.4,0.867647059,6.489751098,47.60248902,4.249633968,0.023125699,1179.026354,2.306002928,0,1,1,0,1
luca marrone,Centre-Back,29,20/21,hellas verona,crotone,750000,1000000,0.10171607,0.3198,31,2575,28.6,0.837837838,4.648543689,66.26796117,0.66407767,0.015341702,1955.883495,2.481553398,0,4,5,1,0
emre can,Centre-Back,25,20/21,juventus,dortmund,24000000,25000000,0.291527984,0.1136,12,955,10.6,0.815789474,6.785340314,59.93717277,0.565445026,0.029671211,1356.596859,2.45026178,0,1,1,0,1
pol lirola,Full-Back,21,20/21,sassuolo,fiorentina,10000000,11000000,0.066521053,0.1778,35,2648,29.4,0.766666667,6.865558912,32.49244713,3.160876133,0.034243176,711.2311178,1.155589124,0,3,3,0,1
achraf hakimi,Full-Back,20,20/21,real madrid,inter,54000000,43000000,0.152492982,0.0568,33,2715,30.2,0.788888889,10.83977901,67.16022099,4.17679558,0.031914894,1197.21547,1.856353591,0,1,1,0,1
maya yoshida,Centre-Back,30,20/21,southampton,sampdoria,3800000,0,0.101164912,0.3068,22,1747,19.4,0.906976744,1.545506583,36.16485404,0.309101317,0.021193093,1007.618775,2.215226102,0,4,3,-1,1
mohammed salisu,Centre-Back,20,20/21,real valladolid,southampton,12000000,12000000,0,0,31,2725,30.3,0.776315789,2.113761468,29.5266055,0.165137615,0.026394721,811.9155963,3.335779817,0,5,4,-1,0
javi sánchez,Centre-Back,22,20/21,real madrid,real valladolid,1200000,3000000,0,0,8,497,5.5,0.888888889,1.629778672,28.06841046,0.181086519,0.023026316,774.3259557,2.535211268,0,1,5,4,0
jawad el yamiq,Centre-Back,27,20/21,genoa,real valladolid,800000,250000,0,0,,1986.5,,0.807956513,87.24413317,1201.009871,11.37515315,0.01141459,32823.23893,79.68738359,1,4,5,1,1
jean-charles castelletto,Centre-Back,24,20/21,brest,nantes,2400000,0,0,0,22,1838,20.4,0.823529412,3.623503808,41.91512514,0.489662677,0.023884349,1143.705114,3.476605005,0,4,3,-1,0
bruno gonzález,Centre-Back,29,20/21,levante,real valladolid,1200000,0,0,0,8,636,7.1,0.8,2.830188679,33.39622642,0,0.026128266,942.3113208,2.830188679,0,4,5,1,0
caio henrique,Full-Back,22,20/21,atlético,monaco,1200000,8000000,0,0,,1624.5,,0.735418356,118.4508266,894.8193935,53.37434768,0.031240588,20775.931,48.32473658,1,1,2,1,0
christophe hérelle,Centre-Back,26,20/21,nice,brest,5500000,4000000,0,0,15,1103,12.3,0.903225806,7.180417044,65.60290118,0.571169538,0.0168185,1676.953762,2.121486854,0,3,4,1,1
nayef aguerd,Centre-Back,23,20/21,dijon,rennes jugend,4000000,4000000,0,0,11,957,10.6,0.870967742,2.539184953,46.26959248,0,0.022962113,1428.62069,4.890282132,0,5,2,-3,1
chris smalling,Centre-Back,29,20/21,man utd,roma,20000000,15000000,0,0,30,2566,28.5,0.888888889,3.226812159,45.87685113,0.420888542,0.01986755,1164.212783,3.858144973,0,1,1,0,1
sergio reguilón,Full-Back,22,20/21,real madrid,tottenham,25000000,30000000,0.187108258,0.142,31,2509,27.9,0.7,8.931845357,50.90075727,4.62734157,0.046437434,1091.837385,2.439218812,0,1,2,1,0
shkodran mustafi,Centre-Back,27,20/21,arsenal,fc schalke 04,12000000,0,0,0,15,1207,13.4,0.8,5.070422535,51.67357084,0.372825186,0.013669065,1450.737365,5.592377796,0,1,3,2,0
simon kjaer,Centre-Back,30,20/21,sevilla fc,ac milan,7000000,3680000,1.447937718,1.500401389,,1697.5,,0.793777939,63.3691892,998.5828257,5.236746168,0.013321546,28467.79635,57.90360928,1,2,1,-1,1
cédric soares,Full-Back,27,20/21,southampton,arsenal,8000000,0,0.576544737,0.1721,21,1555,17.3,0.72,5.382636656,35.24758842,2.720257235,0.042628774,768.2700965,3.009646302,0,4,1,-3,0
nathan ferguson,Centre-Back,18,20/21,west brom,crystal palace,4000000,0,0,0,21,1746,19.4,0.782608696,7.680412371,48.19587629,1.237113402,0.042363434,1159.072165,3.556701031,0,4,3,-1,0
nathaniel clyne,Full-Back,,20/21,liverpool,crystal palace,8000000,0,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,3,2,0
bouna sarr,Full-Back,27,20/21,marseille,bayern munich,9000000,8000000,0,0,27,2164,24,0.75,8.151571165,45.41589649,2.578558226,0.045628998,779.3484288,3.243992606,0,1,1,0,1
mattia bani,Centre-Back,25,20/21,bologna,genoa,3200000,5000000,0,0,27,2207,24.5,0.808080808,3.180788401,38.16946081,0.203896692,0.033888889,1057.652923,5.178975986,0,3,4,1,0
jonathan clauss,Full-Back,26,20/21,arm. bielefeld,lens,1200000,0,0,0,,1843,,0.779207072,99.73156682,912.5084972,20.26275959,0.023919562,21883.91257,54.21455925,1,,5,,1
souleyman doumbia,Full-Back,23,20/21,rennes jugend,angers,1600000,3000000,0,0,,1491,,0.741903369,101.8340255,781.1537261,45.36701585,0.033838968,15719.31397,41.84265496,1,2,4,2,0
mateo musacchio,Centre-Back,28,20/21,ac milan,lazio,4500000,0,0,0,18,1466,16.3,0.810810811,5.095497954,54.94542974,1.043656207,0.017396184,1392.421555,2.517053206,0,1,2,1,1
ben chilwell,Full-Back,22,20/21,leicester,chelsea,40000000,50200000,0,0,27,2373,26.4,0.76056338,8.912768647,58.55878635,3.109987358,0.032127261,1175.309735,3.072060683,0,3,1,-2,1
tanguy nianzou,Centre-Back,17,20/21,paris sg,bayern munich,11000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,1,0,0
thiago silva,Centre-Back,34,20/21,paris sg,chelsea,4800000,0,0,0,21,1571,17.5,0.777777778,6.244430299,82.15149586,0.343730108,0.006344171,2131.298536,2.635264163,0,1,1,0,1
nélson semedo,Full-Back,25,20/21,barcelona,wolves,40000000,32000000,0,0,32,2097,23.3,0.712328767,7.296137339,63.0472103,2.145922747,0.028721541,1040.472103,1.802575107,0,1,4,3,1
giuseppe pezzella,Full-Back,21,20/21,udinese,parma,3500000,5750000,0.129208772,0.3837,23,1029,11.4,0.703703704,5.860058309,34.11078717,1.574344023,0.045510455,758.8338192,1.924198251,0,3,4,1,1
matt doherty,Full-Back,27,20/21,wolves,tottenham,16000000,16800000,0,0,36,2839,31.5,0.726315789,7.386403663,44.12821416,1.965480803,0.035284994,895.5301162,5.103909827,0,4,2,-2,1
martín montoya,Full-Back,28,20/21,brighton,real betis,6500000,0,0,0,27,1896,21.1,0.654320988,7.025316456,47.08860759,3.465189873,0.038939968,1013.259494,2.373417722,0,3,3,0,0
marçal,Full-Back,,20/21,lyon,wolves,2400000,2000000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,4,3,0
gianluca mancini,Centre-Back,23,20/21,atalanta,roma,22000000,24000000,0.059921053,0.2873,32,2740,30.4,0.788990826,4.368613139,48.58029197,0.722627737,0.03183315,1278.788321,3.284671533,0,2,1,-1,1
robin knoche,Centre-Back,27,20/21,wolfsburg,union berlin,6500000,0,0,0,21,1594,17.7,0.732142857,6.323713927,45.56461731,0.508155583,0.012273902,1286.706399,3.218318695,0,3,5,2,1
robin koch,Centre-Back,23,20/21,freiburg,leeds united,17000000,13000000,0,0,32,2705,30.1,0.82278481,3.959334566,42.1219963,0.998151571,0.023303352,1269.515712,4.458410351,0,3,5,2,1
thomas meunier,Full-Back,27,20/21,paris sg,dortmund,24000000,0,0,0,16,1242,13.8,0.866666667,8.043478261,55.65217391,3.985507246,0.024425287,1119.275362,2.753623188,0,1,1,0,1
kamil glik,Centre-Back,31,20/21,monaco,benevento,3500000,3000000,0,0,23,2070,23,0.773584906,1.826086957,43.2173913,0.130434783,0.015100671,1170.304348,3.217391304,0,2,5,3,0
karim rekik,Centre-Back,24,20/21,hertha bsc,sevilla fc,8500000,2000000,0,0,14,1260,14,0.823529412,4.285714286,44.71428571,0.285714286,0.015584416,1195.428571,2.357142857,0,3,2,-1,1
timothy fosu-mensah,Full-Back,,20/21,man utd,leverkusen,4000000,1700000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,1,0,0
marc cucurella,Full-Back,21,20/21,barcelona,getafe,18000000,11800000,0,0.3157,37,3237,36,0.790909091,5.977757183,25.46802595,3.75347544,0.093812375,559.2956441,2.835959222,0,1,3,2,1
kenny tete,Full-Back,23,20/21,lyon,fulham,5500000,3200000,0,0,18,1072,11.9,0.769230769,8.815298507,57.08955224,3.526119403,0.02490566,1217.266791,2.60261194,0,1,4,3,1
tommaso augello,Full-Back,24,20/21,spezia,sampdoria,1200000,1500000,0,0,17,1135,12.6,0.827586207,9.515418502,50.11453744,4.678414097,0.024939662,1132.731278,1.744493392,0,5,3,-2,0
filippo romagna,Centre-Back,22,20/21,cagliari,sassuolo,4500000,4000000,0.741868421,0.2045,18,1477,16.4,0.941176471,2.071767095,59.65470548,0.182802979,0.005202312,1308.930264,1.949898443,0,4,3,-1,1
gabriel magalhães,Centre-Back,21,20/21,lille,arsenal,20000000,26000000,0.074047368,0.3198,24,2087,23.2,0.80952381,5.692381409,53.30138955,0.215620508,0.015209125,1417.273598,4.743651174,0,2,1,-1,1
timothy castagne,Full-Back,23,20/21,atalanta,leicester,18000000,20900000,0,0,27,1769,19.7,0.770833333,5.545505936,48.12888638,3.25607688,0.028214867,873.442623,2.391181458,0,2,3,1,1
malang sarr,Centre-Back,20,20/21,nice,chelsea,16000000,0,0,0,19,1454,16.2,0.859649123,6.623108666,65.79779917,0.433287483,0.013185654,1779.449794,1.485557084,0,3,1,-2,0
koray günter,Centre-Back,24,20/21,genoa,hellas verona,4500000,2400000,0.130863158,0.3011,32,2733,30.4,0.85106383,3.062568606,38.79253568,0.230515917,0.029326923,1031.196487,3.787047201,0,4,4,0,0
diego godín,Centre-Back,33,20/21,inter,cagliari,5000000,0,0,0,23,1628,18.1,0.891566265,7.352579853,52.13144963,1.547911548,0.027463651,1312.13145,4.80958231,0,1,4,3,1
diego llorente,Centre-Back,25,20/21,real sociedad,leeds united,20000000,20000000,0,0,29,2327,25.9,0.724137931,4.641168887,55.19123335,0.232058444,0.01663586,1429.789428,3.248818221,0,3,5,2,0
kyle walker-peters,Full-Back,22,20/21,tottenham,southampton,8000000,13300000,0.232736842,0.267,13,944,10.5,0.789473684,6.483050847,49.67161017,2.383474576,0.029296875,933.845339,2.002118644,0,2,4,2,1
pascal stenzel,Full-Back,23,20/21,freiburg,stuttgart,2400000,1300000,0,0,,2373,,0.763861606,153.9825315,1020.710325,64.89520306,0.036735172,23036.42096,59.09400743,1,3,3,0,0
