PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Minutes_Played,Nineties_Played,Starts,Role_In_Prev_Club_Index,Goals,Assists,PKs,PKsM,Prev_Comp,Key_Passes,CrsPA,Progressive_Passes,Performance_Index,Nationality,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
andrea petagna,Centre-Forward,24,19/20,spal,napoli,18000000,16600000.0,0.0,0.0,3031,33.7,35.0,90.62935115566697,16,1,6,0,Serie A,28,7,68,49.19533668352997,ITA,0,5,1,-4,0
allan saint-maximin,Left Winger,22,19/20,nice,newcastle,25000000,18000000.0,0.0,0.0,2900,32.2,34.0,87.32943469785575,6,3,1,1,Ligue 1,57,12,93,40.91261915171471,FRA,0,3,3,0,1
andrea adorante,Centre-Forward,35,19/20,inter,parma,125000,4000000.0,0.0,0.0,3119,34.65555555555556,17.820580474934037,69.28881415565364,7,10,1,1,Serie A,78,31,201,87.79559045722371,ITA,0,1,4,3,0
andrea favilli,Centre-Forward,22,19/20,juventus,genoa,6000000,12000000.0,0.2386,0.8988785714285714,170,1.9,0.0,2.513227513227513,0,2,0,0,Serie A,3,0,3,2.7636449908837726,ITA,0,1,4,3,0
luka jovic,Centre-Forward,21,19/20,frankfurt,real madrid,60000000,63000000.0,0.0,0.0,2243,24.92222222222222,17.820580474934037,56.414034614207424,17,5,1,0,Bundesliga,26,4,64,51.12234389858455,SRB,0,3,1,-2,0
dong-won ji,Centre-Forward,27,19/20,augsburg,mainz,1750000,0.0,0.0,0.0,1815,20.166666666666668,17.820580474934037,50.12361721267892,1,6,0,0,Serie A,31,1,53,23.90509495947384,KOR,0,3,3,0,0
duvan zapata,Centre-Forward,28,19/20,sampdoria,atalanta,45000000,12000000.0,0.1989,0.0822924134660976,2896,32.2,32.0,84.69785575048734,23,7,1,1,Serie A,64,3,68,73.16608188805286,COL,0,3,2,-1,1
eddie salcedo,Centre-Forward,30,19/20,genoa,inter milan,2000000,10000000.0,0.2971,0.0,680,7.555555555555555,17.820580474934037,33.44225330909279,1,0,0,0,Serie A,8,3,15,7.710886700908743,ITA,0,4,1,-3,0
eden hazard,Left Winger,28,19/20,chelsea,real madrid,150000000,120800000.0,0.0,0.0,2923,32.5,32.0,85.09468114731274,16,15,4,0,Premier League,97,9,249,92.68023098774746,BEL,0,1,1,0,0
franck ribery,Left Winger,36,19/20,bayern munich,fiorentina,4000000,0.0,0.0,0.0,1174,13.0,10.0,30.3536619326093,6,3,0,0,Bundesliga,21,3,91,26.271985193835217,FRA,0,1,3,2,1
franco ferrari,Centre-Forward,28,19/20,genoa,napoli,250000,750000.0,0.5001,0.0,1571,17.455555555555556,17.820580474934037,46.537491404330886,2,7,0,0,Ligue 1,22,6,41,23.925526990772426,ITA,0,4,1,-3,0
dodi lukebakio,Right Winger,21,19/20,watford,hertha bsc,18000000,20000000.0,0.3283,0.0753368421052631,1972,21.9,22.0,57.915622389306606,10,3,4,2,Bundesliga,20,7,41,25.315391897087185,ARG,0,5,3,-2,0
vincenzo grifo,Left Winger,26,19/20,hoffenheim,freiburg,9000000,7000000.0,0.3646,0.2279509033778476,1762,19.6,19.0,50.92592592592593,7,5,2,0,Bundesliga,45,6,90,37.970143498702825,ITA,0,3,3,0,1
vittorio parigini,Left Winger,25,19/20,torino,genoa,1500000,0.0,0.4009,0.5101285475985045,1471,16.344444444444445,17.820580474934037,45.06776771238497,4,3,0,0,Liga,17,7,23,17.764289895344636,ITA,0,3,4,1,0
antonino ragusa,Left Winger,25,19/20,sassuolo,hellas verona,1000000,1000000.0,0.3722,0.6584160000000001,2430,27.0,17.820580474934037,59.16241791814629,9,0,2,0,Premier League,18,5,59,20.984609244290315,ITA,0,3,4,1,0
andy carroll,Centre-Forward,30,19/20,west ham,newcastle,8000000,0.0,0.0,0.0,461,5.1,3.0,10.693400167084375,0,0,0,0,Premier League,4,0,9,2.630179660922507,ENG,0,3,3,0,0
andy delort,Centre-Forward,27,19/20,toulouse,montpellier,12500000,4500000.0,0.0,0.0,3115,34.6,36.0,93.13561681982736,14,7,3,0,Ligue 1,57,18,102,68.84613207316117,ALG,0,4,3,-1,1
krzysztof piatek,Centre-Forward,23,19/20,ac milan,hertha bsc,32000000,24000000.0,0.0,0.0,462,5.133333333333334,17.820580474934037,30.238255660650697,0,0,0,0,Serie A,6,0,1,1.839448033266644,POL,0,1,3,2,0
antoine griezmann,Centre-Forward,28,19/20,atlético,barcelona,130000000,120000000.0,0.0,0.0,3198,35.5,37.0,95.64188248398776,15,8,3,0,Liga,73,5,136,75.6476922683452,FRA,0,1,1,0,0
pablo sarabia,Right Winger,27,19/20,sevilla fc,paris sg,40000000,18000000.0,0.0,0.0,2724,30.3,30.0,79.55304928989139,12,13,1,0,Liga,68,14,191,74.14376506720086,ESP,0,2,1,-1,0
denis bouanga,Left Winger,24,19/20,nîmes,saint-étienne,6000000,4500000.0,0.0,0.0,2633,29.3,29.0,76.91450849345587,8,2,0,0,Ligue 1,31,12,47,28.44347513629308,GAB,0,5,3,-2,1
denis cheryshev,Left Winger,27,19/20,villarreal,valencia,6000000,6000000.0,0.2614,0.8411070276973956,926,10.28888888888889,17.820580474934037,37.05777359127974,1,2,0,0,Liga,6,3,33,10.215186156335328,RUS,0,2,3,1,1
antonio di gaudio,Left Winger,29,19/20,parma,hellas verona,1400000,400000.0,0.0,0.0,699,7.8,9.0,22.159565580618214,0,1,0,0,Serie A,4,0,8,3.4133378504585,ITA,0,4,4,0,0
florian niederlechner,Centre-Forward,28,19/20,freiburg,augsburg,3500000,2500000.0,0.0,0.0,970,10.8,12.0,30.07518796992481,4,1,0,0,Bundesliga,10,0,18,13.065282470595504,GER,0,3,3,0,0
darwin machis,Left Winger,26,19/20,udinese,granada,3000000,5000000.0,0.3994,0.1455473684210526,463,5.1,4.0,12.009189640768588,0,1,0,0,Serie A,11,2,17,7.32225938316517,VEN,0,3,4,1,0
anwar el ghazi,Right Winger,20,19/20,lille,aston villa,7500000,9000000.0,0.0,0.0,2051,22.788888888888888,17.820580474934037,53.59216512567127,4,4,1,0,Premier League,30,14,47,28.62605983977096,NED,0,2,3,1,1
juanmi,Left Winger,26,19/20,real sociedad,real betis,8000000,8000000.0,0.0,0.0,1523,16.9,16.0,43.40712893344472,5,2,0,0,Liga,10,1,21,12.303169097485398,ESP,0,3,3,0,0
nolito,Left Winger,32,19/20,sevilla fc,celta vigo,1600000,0.0,0.0,0.0,76,0.8,1.0,2.3739905318852688,0,0,0,0,Liga,0,0,2,0.2213503984289064,ESP,0,2,3,1,1
ayoze perez,Centre-Forward,26,19/20,newcastle,leicester,20000000,33400000.0,0.0,0.0,2917,32.4,34.0,87.59398496240601,12,2,0,0,Premier League,45,3,82,48.700751781735896,ESP,0,3,3,0,0
danny ings,Centre-Forward,27,19/20,liverpool,southampton,15000000,25100000.0,0.3125,0.49064,1651,18.3,23.0,54.469507101086045,7,3,3,0,Premier League,28,1,56,31.2456919800196,ENG,0,1,4,3,1
danny welbeck,Centre-Forward,28,19/20,arsenal,watford,12000000,0.0,0.0,0.0,153,1.7,1.0,3.564466722361459,1,1,0,0,Premier League,5,0,10,5.422658447129407,ENG,0,1,5,4,0
gelson martins,Right Winger,24,19/20,atlético,monaco,28000000,30000000.0,0.0,0.0,1618,18.0,17.0,46.177944862155385,4,2,0,0,Liga,18,9,58,21.43994935957048,POR,0,1,2,1,1
nicolas pepe,Right Winger,24,19/20,lille,arsenal,65000000,80000000.0,0.0,0.0,3324,36.9,37.0,97.4937343358396,22,11,9,1,Ligue 1,70,4,116,67.14556276649367,CIV,0,2,1,-1,0
romelu lukaku,Centre-Forward,26,19/20,man utd,inter,75000000,74000000.0,0.0,0.0,2136,23.7,22.0,60.296574770258985,12,0,0,0,Premier League,21,3,55,36.0454914831068,BEL,0,1,1,0,1
rony lopes,Right Winger,23,19/20,monaco,sevilla fc,25000000,25000000.0,0.0,0.0,1849,20.5,22.0,56.06377053745475,2,2,0,0,Ligue 1,47,9,66,29.215583017698115,POR,0,2,2,0,1
stefano okaka,Centre-Forward,29,19/20,watford,udinese,5000000,4000000.0,0.3239,0.2990245614035088,994,11.0,11.0,29.02394876079087,6,1,0,0,Premier League,19,0,27,20.35622274631468,ITA,0,5,3,-2,0
matheus cunha,Centre-Forward,20,19/20,leipzig,hertha bsc,13000000,18000000.0,0.0,0.0,853,9.5,9.0,24.408242829295464,2,0,0,0,Bundesliga,7,0,30,10.271726219816845,BRA,0,1,3,2,1
sebastien haller,Centre-Forward,25,19/20,frankfurt,west ham,40000000,50000000.0,0.0,0.0,2182,24.2,23.0,62.27373990531886,15,9,3,0,Bundesliga,38,1,57,51.54049967604127,CIV,0,3,3,0,0
joselu,Centre-Forward,29,19/20,newcastle,alavés,4000000,2240000.0,0.0,0.0,596,6.6,5.0,15.309106098579782,2,0,0,0,Premier League,1,0,8,4.894498136913443,ESP,0,3,4,1,1
matteo politano,Right Winger,25,19/20,sassuolo,inter,30000000,21100000.0,0.1136,0.1103473684210526,2549,28.3,31.0,78.22333611807296,5,6,0,0,Serie A,64,20,150,56.05798572477814,ITA,0,3,1,-2,0
christopher nkunku,Centre-Forward,21,19/20,paris sg,leipzig,12000000,19500000.0,0.0,0.0,1156,12.8,13.0,34.03648008911166,3,2,0,0,Ligue 1,17,2,61,22.21721955743583,FRA,0,1,1,0,1
borja iglesias,Centre-Forward,26,19/20,espanyol,real betis,28000000,28000000.0,0.0,0.0,3075,34.2,35.0,91.2907268170426,17,3,3,0,Liga,42,1,31,47.27438455730371,ESP,0,3,3,0,1
mattia sprocati,Right Winger,26,19/20,lazio,parma,1500000,3000000.0,0.3959,0.2147087719298245,644,7.2,5.0,16.102756892230577,1,0,0,0,Serie A,11,1,26,7.300552421709244,ITA,0,2,4,2,0
simone zaza,Centre-Forward,28,19/20,valencia,torino,10000000,12000000.0,0.2614,0.1538701754385964,1437,16.0,11.0,35.63770537454748,4,3,0,0,Serie A,15,0,16,15.54359298377152,ITA,0,3,3,0,0
breel embolo,Centre-Forward,22,19/20,fc schalke 04,mönchengladbach,14000000,11000000.0,0.0,0.0,1345,14.9,15.0,39.44583681425787,5,1,0,0,Bundesliga,19,0,23,18.04822220424273,SUI,0,3,3,0,1
benjamin goller,Right Winger,21,19/20,fc schalke 04,werder bremen,400000,0.0,0.0,0.0,288,3.2,17.820580474934037,27.680936436664805,0,0,0,0,Bundesliga,2,0,4,1.025581788171556,GER,0,3,3,0,0
maxi gomez,Centre-Forward,22,19/20,celta vigo,valencia,40000000,14500000.0,0.0,0.0,2960,32.9,33.0,86.93957115009746,13,5,1,0,Liga,31,3,64,45.53768284268861,URU,0,3,3,0,0
bernard tekpetey,Right Winger,22,19/20,sc paderborn,fc schalke 04,2500000,2500000.0,0.0,0.0,448,4.977777777777778,17.820580474934037,30.03249434377827,0,1,0,0,Bundesliga,5,3,18,6.120672243527641,GHA,0,5,3,-2,0
ignacio pussetto,Centre-Forward,23,19/20,udinese,watford,8000000,8500000.0,0.0,0.0,2178,24.2,24.0,63.58952937900306,4,4,0,0,Serie A,22,4,45,24.85233894868672,ARG,0,3,5,2,0
nicola sansone,Left Winger,27,19/20,villarreal,bologna,7500000,8000000.0,0.3874,0.3759473684210526,1176,13.1,13.0,34.43330548593706,3,5,0,0,Liga,20,2,38,20.060413588497973,ITA,0,2,3,1,0
henry onyekuru,Left Winger,23,19/20,everton,monaco,13000000,13500000.0,0.4003,0.4819754385964912,160,1.7777777777777777,17.820580474934037,25.79969011097404,0,1,0,0,Ligue 1,1,0,3,1.98564036741562,NGA,0,3,2,-1,1
irvin cardona,Centre-Forward,23,19/20,monaco,brest,1500000,1500000.0,0.0,0.0,1450,16.11111111111111,17.820580474934037,44.75912573707632,6,3,0,0,Ligue 1,19,1,53,26.599683679671102,MLT,0,2,4,2,0
santi mina,Centre-Forward,23,19/20,valencia,celta vigo,30000000,0.0,0.0,0.0,1852,20.6,23.0,57.51183514341409,7,5,0,0,Liga,16,3,34,26.50142949881752,ESP,0,3,3,0,1
sada thioub,Right Winger,24,19/20,nîmes,angers,5500000,3500000.0,0.0,0.0,2476,27.5,27.0,71.90197716513507,3,5,0,0,Ligue 1,37,15,89,36.3322854307621,SEN,0,5,4,-1,0
moise kean,Centre-Forward,19,19/20,juventus,everton,40000000,27500000.0,0.1932,0.1924280701754386,541,6.0,5.0,14.51545530492899,6,0,0,0,Serie A,5,0,4,11.871174183292032,ITA,0,1,3,2,1
chang-hoon kwon,Right Winger,25,19/20,dijon,freiburg,5500000,2000000.0,0.0,0.0,938,10.4,10.0,26.914508493455862,2,0,0,0,Ligue 1,13,3,37,10.754393029379091,KOR,0,5,3,-2,0
chicharito,Centre-Forward,31,19/20,west ham,sevilla fc,12000000,7750000.0,0.0,0.0,1334,14.8,14.0,37.99777220829853,7,1,0,0,Premier League,5,0,31,18.765264549613,MEX,0,3,2,-1,0
fernando llorente,Centre-Forward,34,19/20,tottenham,napoli,3500000,0.0,0.0,0.0,694,7.7,6.0,18.079922027290447,1,4,0,0,Premier League,14,0,10,10.063266945995858,ESP,0,2,1,-1,0
wesley said,Centre-Forward,24,19/20,dijon,toulouse,6000000,8000000.0,0.0,0.0,2253,25.0,25.0,65.96351991088834,4,1,0,1,Ligue 1,26,1,78,28.06977393171619,FRA,0,5,4,-1,1
alexander isak,Centre-Forward,25,19/20,dortmund,real sociedad,8000000,15000000.0,0.3084,0.5568473684210526,1507,16.744444444444444,17.820580474934037,45.5968682414855,9,1,0,0,Liga,14,1,36,25.82293757658048,SWE,0,1,3,2,1
lucas perez,Centre-Forward,30,19/20,west ham,alavés,4000000,2300000.0,0.0,0.0,475,5.3,4.0,12.273739905318852,3,0,0,0,Premier League,8,0,7,8.309649465125364,ESP,0,3,4,1,0
luis muriel,Centre-Forward,28,19/20,sevilla fc,atalanta,13000000,21200000.0,0.0,0.0,1564,17.4,17.0,45.3842940685046,7,1,0,0,Liga,22,3,37,25.832295600128848,COL,0,2,2,0,1
alex iwobi,Left Winger,23,19/20,arsenal,everton,25000000,30400000.0,0.0,0.0,1970,21.9,22.0,57.915622389306606,3,6,0,0,Premier League,40,8,141,41.26922710537495,NGA,0,1,3,2,1
lucas ocampos,Left Winger,25,19/20,marseille,sevilla fc,15000000,15000000.0,0.0,0.0,2708,30.1,31.0,80.60428849902534,4,8,0,0,Ligue 1,31,13,54,34.704543191301305,ARG,0,1,2,1,1
lois diony,Centre-Forward,27,20/21,saint-étienne,angers,2400000,0.0,0.0,0.0,666,7.4,8.0,20.31467557783348,2,0,0,0,Ligue 1,5,0,9,6.176952064640995,FRA,0,3,4,1,0
yann karamoh,Left Winger,22,20/21,inter,parma,7500000,8000000.0,0.409,0.5049166232412715,573,6.4,5.0,15.044555834029518,1,1,0,0,Serie A,11,0,15,7.0089188693764015,FRA,0,1,4,3,0
leroy sane,Right Winger,24,20/21,man city,bayern munich,80000000,49000000.0,0.0,0.0,12,0.1,0.0,0.1322751322751323,0,0,0,0,Premier League,0,0,1,0.1106751992144532,GER,0,1,1,0,1
ermedin demirovic,Centre-Forward,26,20/21,alavés,freiburg,3000000,3700000.0,0.0,0.0,2873,31.92222222222222,17.820580474934037,65.67329387346669,15,9,3,1,Bundesliga,33,1,60,50.65341156214164,GER,0,4,3,-1,0
enes unal,Centre-Forward,23,20/21,villarreal,getafe,8000000,9000000.0,0.3074,0.1532402767482085,2344,26.0,23.0,64.65469228627123,6,2,2,1,Liga,26,2,65,30.299968925382625,TUR,0,2,3,1,0
eric-maxim choupo-moting,Centre-Forward,31,20/21,paris sg,bayern munich,4000000,0.0,0.0,0.0,451,5.011111111111111,17.820580474934037,30.076586054536648,3,1,0,0,Ligue 1,6,0,14,9.643293717445374,CMR,0,1,1,0,1
carles perez,Right Winger,22,20/21,barcelona,roma,9000000,13000000.0,0.0511,0.3265150097465886,1042,11.6,10.0,28.50181008075745,2,5,0,0,Liga,17,1,37,17.85826511240503,ESP,0,1,1,0,0
carlos fernandez,Centre-Forward,24,20/21,sevilla fc,real sociedad,9000000,10000000.0,0.0,0.0,2201,24.5,21.0,60.03898635477582,10,3,1,0,Liga,20,1,57,34.08859430093601,ESP,0,2,3,1,0
cedric teuchert,Centre-Forward,24,20/21,fc schalke 04,union berlin,1200000,0.0,0.0,0.0,754,8.377777777777778,17.820580474934037,34.52984884113277,3,1,0,0,Bundesliga,8,1,17,11.14628059077836,GER,0,3,5,2,0
callum robinson,Centre-Forward,25,20/21,sheffield utd,west brom,5500000,5916666.667,0.2898,0.3963614035087719,676,7.5,9.0,21.76274018379282,1,1,0,0,Premier League,4,1,10,5.58475701220565,IRL,0,5,4,-1,0
moses simon,Left Winger,25,20/21,levante,nantes,6500000,5000000.0,0.2273,0.1543421052631579,2177,24.2,25.0,64.90531885268726,5,5,0,0,Ligue 1,36,6,58,30.24403035329121,NGA,0,4,3,-1,1
jean-kevin augustin,Centre-Forward,23,20/21,leipzig,leeds united,9500000,21000000.0,0.0,0.0,266,3.0,2.0,6.599832915622389,0,0,0,0,Ligue 1,0,0,0,0.0,FRA,0,1,5,4,0
islam slimani,Centre-Forward,32,20/21,leicester,lyon,5000000,0.0,0.0,0.0,1285,14.3,14.0,37.33639654692287,9,7,1,0,Ligue 1,32,4,57,39.96372147748751,ALG,0,3,1,-2,0
christian kouame,Centre-Forward,22,20/21,genoa,fiorentina,17500000,15500000.0,0.1847,0.66,1216,13.5,13.0,34.962406015037594,6,3,0,0,Serie A,19,2,33,23.670964964529503,CIV,0,4,3,-1,1
mauro icardi,Centre-Forward,27,20/21,inter,paris sg,60000000,50000000.0,0.0,0.0,1267,14.1,14.0,37.0718462823726,12,2,0,0,Ligue 1,11,0,18,27.12825926847433,ARG,0,1,1,0,1
bertrand traore,Right Winger,24,20/21,lyon,aston villa,9500000,18400000.0,0.0,0.0,1253,13.9,14.0,36.80729601782233,1,3,0,0,Ligue 1,26,6,52,20.81814103393049,BFA,0,1,3,2,1
dani gomez,Centre-Forward,23,20/21,real madrid,levante,900000,2000000.0,0.3283,0.0,1666,18.51111111111112,17.820580474934037,47.93372891167952,2,2,0,0,Liga,11,1,33,13.754463881315951,ESP,0,1,4,3,0
ignatius ganago,Centre-Forward,21,20/21,nice,lens,3600000,6000000.0,0.0,0.0,1239,13.8,12.0,34.04344193817878,3,1,0,0,Ligue 1,13,2,33,15.674812938861788,CMR,0,3,5,2,0
helder costa,Right Winger,25,20/21,wolves,leeds united,8000000,17700000.0,0.3636,0.0,1341,14.9,17.820580474934037,43.15712691285528,1,2,0,0,Premier League,17,1,37,12.990971135240237,ANG,0,4,5,1,1
jean-kevin augustin,Centre-Forward,23,20/21,leeds united,nantes,6000000,0.0,0.0,0.0,266,3.0,2.0,6.599832915622389,0,0,0,0,Ligue 1,0,0,0,0.0,FRA,0,5,3,-2,0
matteo stoppa,Centre-Forward,19,20/21,juventus,sampdoria,100000,1000000.0,0.0,0.0,1559,17.322222222222223,17.820580474934037,46.36112456129737,7,2,1,0,Serie A,20,2,37,25.54608421805748,,1,1,3,2,0
mattia destro,Centre-Forward,29,20/21,bologna,genoa,1800000,0.0,0.3722,0.3397972643473089,335,3.7,3.0,8.841548315232526,0,0,0,0,Serie A,3,0,5,1.6778197415554836,ITA,0,3,4,1,0
daniel caligiuri,Right Winger,32,20/21,fc schalke 04,augsburg,4000000,0.0,0.0,0.0,2293,25.5,26.0,67.9406850459482,2,2,1,0,Bundesliga,40,2,105,28.437167871838973,ITA,0,3,3,0,1
gianluca lapadula,Centre-Forward,30,20/21,genoa,benevento,5000000,4000000.0,0.4489,0.4052917992656059,1784,19.8,20.0,52.5062656641604,11,0,2,0,Serie A,22,0,22,27.808695357435315,PER,0,4,5,1,0
grady diangana,Right Winger,23,20/21,west ham,west brom,4500000,13500000.0,0.2386,0.1704421052631579,1235,13.72222222222222,17.820580474934037,41.59921979939261,1,0,0,0,Premier League,5,1,32,6.215960643054735,COD,0,3,4,1,0
gregoire defrel,Centre-Forward,29,20/21,roma,sassuolo,8000000,11000000.0,0.3374,0.4618895438596491,980,10.9,9.0,26.26009468114731,3,3,1,0,Serie A,10,1,25,14.473757112139436,MTQ,0,1,3,2,0
suso,Right Winger,26,20/21,ac milan,sevilla fc,17500000,21700000.0,0.0,0.0,2144,23.8,23.0,61.74463937621832,2,3,0,0,Serie A,59,19,155,48.28894232067476,ESP,0,1,2,1,0
jorge molina,Centre-Forward,38,20/21,getafe,granada,1600000,0.0,0.0,0.0,1886,21.0,23.0,58.04093567251463,5,3,2,0,Liga,24,4,59,28.69061242147794,ESP,0,3,4,1,1
jorge de frutos,Right Winger,28,20/21,real madrid,levante,2000000,6000000.0,0.3444,0.0,2495,27.72222222222222,17.820580474934037,60.11773831791114,6,3,0,0,Liga,31,13,44,28.34846213821709,ESP,0,1,4,3,1
jose callejon,Right Winger,33,20/21,napoli,fiorentina,7500000,0.0,0.0,0.0,2172,24.1,25.0,64.77304372041215,4,7,0,0,Serie A,63,17,96,49.06234568556982,ESP,0,1,3,2,0
jota peleteiro,Right Winger,29,20/21,aston villa,alavés,3500000,0.0,0.0,0.0,335,3.7,4.0,10.157337788916736,0,1,0,0,Premier League,4,0,14,4.077389045745219,ESP,0,3,4,1,0
giovanni simeone,Centre-Forward,25,20/21,fiorentina,cagliari,15000000,13000000.0,0.2898,0.0,2924,32.5,34.0,87.72626009468114,12,3,0,0,Serie A,18,2,19,30.83877393151561,ARG,0,3,4,1,1
nikola kalinic,Centre-Forward,32,20/21,atlético,hellas verona,5500000,1800000.0,0.0,0.0,571,6.344444444444444,17.820580474934037,31.840254484871743,5,1,0,0,Serie A,7,0,13,13.02160040451449,CRO,0,1,4,3,0
rodrigo,Centre-Forward,29,20/21,valencia,leeds united,40000000,30000000.0,0.0,0.0,1880,20.9,23.0,57.90866054023949,4,7,0,0,Liga,27,7,77,35.091649022792176,ESP,0,3,5,2,1
kai havertz,Centre-Forward,21,20/21,leverkusen,chelsea,81000000,100000000.0,0.0,0.0,2454,27.3,29.0,74.26900584795322,12,6,1,0,Bundesliga,59,3,139,65.04776973477765,GER,0,1,1,0,1
karl toko ekambi,Centre-Forward,27,20/21,villarreal,lyon,14000000,11500000.0,0.3249,0.1748421052631579,1531,17.0,16.0,43.53940406571986,8,3,0,0,Liga,19,3,25,26.03211020012928,CMR,0,2,1,-1,1
robert snodgrass,Right Winger,32,20/21,west ham,west brom,4000000,110000.0,0.3097,0.3028959857270294,1509,16.8,17.0,44.59064327485381,5,5,0,0,Premier League,33,2,57,27.513511126749165,SCO,0,3,4,1,0
oliver burke,Centre-Forward,23,20/21,west brom,sheffield utd,4800000,6500000.0,0.3454,0.0870736842105263,1429,15.9,14.0,39.45279866332498,1,2,0,0,Liga,6,0,16,7.423328141108683,SCO,0,4,5,1,0
georginio rutter,Centre-Forward,23,20/21,rennes jugend,hoffenheim,1500000,750000.0,0.0,0.0,285,3.1666666666666665,17.820580474934037,27.63684472590643,1,0,0,0,Bundesliga,2,1,6,3.642521698755568,FRA,0,2,3,1,0
